Community_Area,Community_Area_Name,Abandoned_Buildings,Latitude,Longitude
1,Rogers Park,84,42.01865205,-87.66974504
2,West Ridge,208,42.01109228,-87.6864371
3,Uptown,122,41.97356469,-87.66956273
4,Lincoln Square,141,41.97301406,-87.68921774
5,North Center,144,41.94047953,-87.67884567
6,Lake View,172,41.9398777,-87.64091991
7,Lincoln Park,168,41.92516488,-87.66715674
8,Near North Side,95,41.90769396,-87.63341586
9,Edison Park,29,41.999004,-87.81372082
10,Norwood Park,152,41.97432031,-87.83087901
11,Jefferson Park,113,41.97928135,-87.78512542
12,Forest Glen,54,42.0108682,-87.7818612
13,North Park,46,41.98732829,-87.71755327
14,Albany Park,186,41.97104575,-87.71465485
15,Portage Park,307,41.94949541,-87.76981524
16,Irving Park,309,41.94899371,-87.72098266
17,Dunning,267,41.94930711,-87.81843292
18,Montclaire,79,41.93542655,-87.79438895
19,Belmont Cragin,685,41.91968608,-87.77085863
20,Hermosa,208,41.91762209,-87.7375743
21,Avondale,408,41.93850551,-87.69703339
22,Logan Square,647,41.92038762,-87.69596842
23,Humboldt park,2152,41.89918112,-87.72253402
24,West Town,634,41.89067461,-87.68570526
25,Austin,3389,41.91146581,-87.74455124
26,West Garfield Park,1674,41.87256427,-87.72324457
27,East Garfield Park,1241,41.88105161,-87.69875257
28,Near West Side,396,41.88217819,-87.68011328
29,North Lawndale,2022,41.8577991,-87.72614722
30,South Lawndale,654,41.83806523,-87.71095516
31,Lower West Side,365,41.84842787,-87.6836121
32,Loop,32,41.8719367,-87.63356731
33,Near South Side,43,41.85235225,-87.62379536
34,Armour Square,18,41.85510262,-87.63098395
35,Douglas,200,41.82866296,-87.62171032
36,Oakland,57,41.82199304,-87.60367125
37,Fuller Park,227,41.80907052,-87.63463905
38,Grand Boulevard,553,41.80296496,-87.62105057
39,Kenwood,153,41.81415036,-87.59935926
40,Washington Park,465,41.78739094,-87.62389934
41,Hyde Park,58,41.80045922,-87.58437904
42,Woodlawn,1121,41.77642623,-87.60097352
43,South Shore,1767,41.77090876,-87.57642815
44,Chatham,1290,41.74205773,-87.60134103
45,Avalon Park,460,41.74235256,-87.58761599
46,South Chicago,2646,41.75158532,-87.55531549
47,Burnside,310,41.72702949,-87.59853665
48,Calumet Heights,548,41.73499633,-87.59284176
49,Roseland,3230,41.69988958,-87.62212762
50,Pullman,335,41.72002476,-87.59714254
51,South Deering,578,41.69899514,-87.56075632
52,East Side,309,41.69893864,-87.53528153
53,West Pullman,2460,41.67192758,-87.62968915
54,Riverdale,150,41.65676908,-87.60960107
55,Hegewisch,141,41.65139296,-87.54715918
56,Garfield Ridge,249,41.79610622,-87.75506674
57,Archer Heights,182,41.80426465,-87.72032631
58,Brighton Park,524,41.81743876,-87.68467242
59,McKinley Park,164,41.83360853,-87.68517304
60,Bridgeport,261,41.83719145,-87.64868734
61,New City,2413,41.80689326,-87.65641304
62,West Elsdon,145,41.79153435,-87.71406665
63,Gage Park,650,41.79878148,-87.69149961
64,Clearing,140,41.77763935,-87.7837508
65,West Lawn,277,41.77786004,-87.71436983
66,Chicago Lawn,1999,41.7696541,-87.6907126
67,West Englewood,5373,41.75956423,-87.65609637
68,Englewood,3745,41.76819815,-87.65177098
69,Greater Grand Crossing,2259,41.76566494,-87.61042536
70,Ashburn,500,41.7507142,-87.73291263
71,Auburn Gresham,2536,41.75032945,-87.64281184
72,Beverly,177,41.71494061,-87.67945922
73,Washington Height,1017,41.71197246,-87.63932543
74,Mount Greenwood,126,41.70385926,-87.70247608
75,Morgan Park,680,41.68565808,-87.65554929
76,O'Hare,8,41.96002546,-87.84365102
77,Edgewater,139,41.9850777,-87.67231688
